title,id,language,ontologyId,address,position,access,distance,categories,foodTypes,references,contacts,openingHours,province
Kampot Provincial Museum,here:pds:place:116w3fh6-319fa707b3f8ab62af430025b03952d8,en,here:cm:ontology:museum,"{'label': 'Kampot Provincial Museum, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60976, 'lng': 104.18328}","[{'lat': 10.60964, 'lng': 104.18321}]",105379,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '8842509'}]","[{'phone': [{'value': '+85512691832'}], 'www': [{'value': 'http://www.kampotmuseum.org'}]}]","[{'text': ['Tue, Thu, Sat: 15:00 - 18:00', 'Sun: 08:00 - 11:00, 15:00 - 18:00'], 'isOpen': False, 'structured': [{'start': 'T150000', 'duration': 'PT03H00M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,TH,SA,SU'}, {'start': 'T080000', 'duration': 'PT03H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SU'}]}]",Kampot
La Plantation,here:pds:place:116w3fh6-c7476338ef92452fbfdc0d6e151f983a,en,here:cm:ontology:museum,"{'label': 'La Plantation, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60807, 'lng': 104.18095}","[{'lat': 10.6082, 'lng': 104.18091}]",105592,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '300-3100-0000', 'name': 'Museum'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '18083373'}, {'supplier': {'id': 'tripadvisor'}, 'id': '19296749'}]","[{'phone': [{'value': '+85517842505'}], 'www': [{'value': 'http://kampotpepper.com'}]}]",Not Available,Kampot
Kampot Museum,here:pds:place:116w3fh6-02b4801ff1714d779a5d31ccc719f6bb,en,here:cm:ontology:museum,"{'label': 'Kampot Museum, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.60191, 'lng': 104.18066}","[{'lat': 10.60191, 'lng': 104.18065}]",106276,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '700-7400-0147', 'name': 'Social Services'}]",,Not Available,[{'phone': [{'value': '+85512691832'}]}],Not Available,Kampot
Phnom Chhngok Cave Temple,here:pds:place:116w3fhs-e5df9694864b20bce1336ef6634c4601,en,here:cm:ontology:natural_geographical,"{'label': 'Phnom Chhngok Cave Temple, 070214 ទឹកឈូរ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'ទឹកឈូរ', 'district': 'ត្រពាំងព្រីង', 'postalCode': '070214'}","{'lat': 10.64279, 'lng': 104.26812}","[{'lat': 10.64277, 'lng': 104.26798}]",101163,"[{'id': '350-3550-0336', 'name': 'Natural or Geographical', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '3224541'}]",Not Available,Not Available,Kampot
Lake Restaurant,here:pds:place:116w3fhm-5111c62fc3214d0d8ee6dba01de9480a,en,here:cm:ontology:restaurant,"{'label': 'Lake Restaurant, 070207 ទឹកឈូរ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'ទឹកឈូរ', 'district': 'កូនសត្វ', 'postalCode': '070207'}","{'lat': 10.60273, 'lng': 104.29088}","[{'lat': 10.60261, 'lng': 104.29098}]",9615,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-050', 'name': 'Fast Food'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '27160624'}]","[{'phone': [{'value': '+85511223334'}, {'value': '+85561717536'}]}]","[{'text': ['Mon-Sun: 09:00 - 21:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT12H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Kampot
Gold Dragon Beer Garden,here:pds:place:116w3f72-7823ae0682eb4a37ad82f9b245edc283,en,here:cm:ontology:restaurant,"{'label': 'Gold Dragon Beer Garden, អេអេច123, 070612 កំពង់ត្រាច, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពង់ត្រាច', 'district': 'ឫស្សីស្រុកខាងលិច', 'street': 'អេអេច123', 'postalCode': '070612'}","{'lat': 10.42854, 'lng': 104.4522}","[{'lat': 10.42862, 'lng': 104.45231}]",16656,"[{'id': '100-1000-0009', 'name': 'Fast Food', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '101-000', 'name': 'American'}, {'id': '206-000', 'name': 'Vietnamese'}, {'id': '207-000', 'name': 'Korean'}, {'id': '256-000', 'name': 'Cambodian'}, {'id': '800-050', 'name': 'Fast Food'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17425718'}]","[{'phone': [{'value': '+85581232003'}], 'www': [{'value': 'http://hatienvegas.com'}]}]",Not Available,Kampot
King of Crepes,here:pds:place:116w3fh7-1f6d68ab53194a159b49ea21812441e1,en,here:cm:ontology:restaurant,"{'label': 'King of Crepes, ផ្លូវជាតិ 33, 070202 ទឹកឈូរ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'ទឹកឈូរ', 'district': 'ជុំក្រៀល', 'street': 'ផ្លូវជាតិ 33', 'postalCode': '070202'}","{'lat': 10.61067, 'lng': 104.21021}","[{'lat': 10.61101, 'lng': 104.21015}]",16904,"[{'id': '100-1000-0001', 'name': 'Casual Dining', 'primary': True}, {'id': '100-1000-0000', 'name': 'Restaurant'}]","[{'id': '800-078', 'name': 'Grill', 'primary': True}, {'id': '800-061', 'name': 'Breakfast'}]",Not Available,"[{'phone': [{'value': '+855888776418'}], 'www': [{'value': 'https://king-of-crepes.business.site'}]}]",Not Available,Kampot
Plant-Based Cafe Uguisu Sabou,here:pds:place:116w3fh6-f4371b2dea1242618aec0a8c512d14cd,en,here:cm:ontology:restaurant,"{'label': 'Plant-Based Cafe Uguisu Sabou, 070202 ទឹកឈូរ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'ទឹកឈូរ', 'district': 'ជុំក្រៀល', 'postalCode': '070202'}","{'lat': 10.61225, 'lng': 104.20441}","[{'lat': 10.61231, 'lng': 104.20453}]",17540,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '800-083', 'name': 'Natural/Healthy', 'primary': True}, {'id': '800-077', 'name': 'Vegetarian'}]",Not Available,[{'phone': [{'value': '+85516207580'}]}],Not Available,Kampot
Arunreas Restaurant,here:pds:place:116w3fh6-b6097453248c41efb966181bce1ec31d,en,here:cm:ontology:restaurant,"{'label': 'Arunreas Restaurant, 070202 ទឹកឈូរ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'ទឹកឈូរ', 'district': 'ជុំក្រៀល', 'postalCode': '070202'}","{'lat': 10.59391, 'lng': 104.19065}","[{'lat': 10.59403, 'lng': 104.19072}]",18000,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '256-000', 'name': 'Cambodian', 'primary': True}]",Not Available,[{'phone': [{'value': '+85512484951'}]}],Not Available,Kampot
Miss Saucy's Little Garden Restaurant,here:pds:place:116w3fh6-d7ac5b4f7dd32c3e00b9a5fdc82936dd,en,here:cm:ontology:restaurant,"{'label': ""Miss Saucy's Little Garden Restaurant, 070202 ទឹកឈូរ, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'ទឹកឈូរ', 'district': 'ជុំក្រៀល', 'postalCode': '070202'}","{'lat': 10.60028, 'lng': 104.19234}","[{'lat': 10.60029, 'lng': 104.1922}]",18108,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}]","[{'id': '201-048', 'name': 'Chinese - Yunnan/Guizhou', 'primary': True}, {'id': '201-000', 'name': 'Chinese'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '23201758'}]","[{'phone': [{'value': '+855318658439'}], 'www': [{'value': 'http://www.misssaucys.com'}]}]","[{'text': ['Wed, Fri: 11:30 - 14:30, 17:30 - 21:00'], 'isOpen': False, 'structured': [{'start': 'T113000', 'duration': 'PT03H00M', 'recurrence': 'FREQ:DAILY;BYDAY:WE,FR'}, {'start': 'T173000', 'duration': 'PT03H30M', 'recurrence': 'FREQ:DAILY;BYDAY:WE,FR'}]}]",Kampot
Kampot Cafe,here:pds:place:116w3fh6-9a156284fc504164a9e79c7be102b195,en,here:cm:ontology:restaurant,"{'label': 'Kampot Cafe, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'postalCode': '070801'}","{'lat': 10.5965, 'lng': 104.18711}","[{'lat': 10.59641, 'lng': 104.18701}]",18467,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '16141787'}]",[{'phone': [{'value': '+85592397093'}]}],Not Available,Kampot
Cafe Espresso Kampot,here:pds:place:116httek-61528cdc9dc601ff14d35b16a2ba1eff,en,here:cm:ontology:restaurant,"{'label': 'Cafe Espresso Kampot, ផ្លូវជាតិ 33, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'street': 'ផ្លូវជាតិ 33', 'postalCode': '070801'}","{'lat': 10.60685, 'lng': 104.1887}","[{'lat': 10.60698, 'lng': 104.18866}]",18777,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'id': '800-064', 'name': 'International', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '2349848'}]","[{'phone': [{'value': '+85592388736'}], 'www': [{'value': 'http://kampotcoffee.wixsite.com/espresso'}]}]","[{'text': ['Tue-Fri: 08:30 - 16:00', 'Sat, Sun: 09:00 - 16:30'], 'isOpen': False, 'structured': [{'start': 'T083000', 'duration': 'PT07H30M', 'recurrence': 'FREQ:DAILY;BYDAY:TU,WE,TH,FR'}, {'start': 'T090000', 'duration': 'PT07H30M', 'recurrence': 'FREQ:DAILY;BYDAY:SA,SU'}]}]",Kampot
The Java Cafe,here:pds:place:116w3fh6-716f24c21be942b5b64d86392061e4ee,en,here:cm:ontology:restaurant,"{'label': 'The Java Cafe, ផ្លូវជាតិ 33, 070801 កំពត, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'កំពត', 'city': 'កំពត', 'district': 'កំពង់កណ្ដាល', 'street': 'ផ្លូវជាតិ 33', 'postalCode': '070801'}","{'lat': 10.60673, 'lng': 104.18816}","[{'lat': 10.60686, 'lng': 104.18819}]",18825,"[{'id': '100-1000-0000', 'name': 'Restaurant', 'primary': True}, {'id': '100-1100-0010', 'name': 'Coffee Shop'}]","[{'id': '200-000', 'name': 'Asian', 'primary': True}, {'id': '800-063', 'name': 'Ice Cream'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13496694'}]","[{'phone': [{'value': '+85568234123'}], 'www': [{'value': 'https://www.facebook.com/TheJavaCafeKampot', 'categories': [{'id': '100-1000-0000'}]}]}]",Not Available,Kampot
