title,id,language,ontologyId,address,position,access,distance,categories,foodTypes,references,contacts,openingHours,province
Village Life with Peng,here:pds:place:116w63gg-42e636f8ed31a767a34fd4927ad31403,en,here:cm:ontology:landmark_attraction,"{'label': 'Village Life with Peng, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.31801, 'lng': 103.86077}","[{'lat': 13.31803, 'lng': 103.86063}]",87793,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '20028710'}]","[{'phone': [{'value': '+855964334521'}], 'www': [{'value': 'http://villagelifewithpeng.wixsite.com/peng/village-life-tours'}]}]","[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Angkor Ruins Guide,here:pds:place:116w63u4-ec1310e96c71abe9cb3a2b5de9e37ae3,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Ruins Guide, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36081, 'lng': 103.84268}","[{'lat': 13.36094, 'lng': 103.84268}]",87801,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '15063373'}]","[{'phone': [{'value': '+855717237277'}], 'www': [{'value': 'http://angkorruinsguide.com'}]}]","[{'text': ['Mon-Wed, Fri-Sun: 00:00 - 23:30'], 'isOpen': False, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,FR,SA,SU'}]}]",Siem Reap
Shihai Group Tour,here:pds:place:116w63u4-88850eda516ab03e546c97c3f2791326,en,here:cm:ontology:landmark_attraction,"{'label': 'Shihai Group Tour, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36525, 'lng': 103.8411}","[{'lat': 13.36525, 'lng': 103.8411}]",87848,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}, {'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '27416437'}, {'supplier': {'id': 'tripadvisor'}, 'id': '27416456'}, {'supplier': {'id': 'tripadvisor'}, 'id': '27416461'}, {'supplier': {'id': 'tripadvisor'}, 'id': '27422161'}]","[{'phone': [{'value': '+8551081612727', 'categories': [{'id': '300-3000-0000'}]}, {'value': '+85595612727'}], 'www': [{'value': 'https://shihaigrouptours.com'}]}]","[{'categories': [{'id': '300-3000-0000'}], 'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Vuthy Angkor Transportation,here:pds:place:116w63u4-0055285e7da3e8879913a7b69bf8e4b0,en,here:cm:ontology:landmark_attraction,"{'label': 'Vuthy Angkor Transportation, ផ្លូវខេត្ត 2អេសអ3, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវខេត្ត 2អេសអ3', 'postalCode': '171202'}","{'lat': 13.36992, 'lng': 103.83896}","[{'lat': 13.36992, 'lng': 103.8391}]",87854,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '26792086'}]","[{'phone': [{'value': '+85569479077'}], 'www': [{'value': 'https://vuthyangkortransportation.com'}]}]","[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Angkor Wat Merge Tour,here:pds:place:116w63gg-2f71e6cf6c3762fef2bc1f432260acab,en,here:cm:ontology:landmark_attraction,"{'label': 'Angkor Wat Merge Tour, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.3534, 'lng': 103.84687}","[{'lat': 13.35327, 'lng': 103.84687}]",87883,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '26997614'}]","[{'phone': [{'value': '+85595633144'}], 'www': [{'value': 'https://angkorwatmergetour.blogspot.com'}]}]","[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Passion Indochina Travel,here:pds:place:116w63u4-d3073f7f7626bb95a8542751e6f9220c,en,here:cm:ontology:landmark_attraction,"{'label': 'Passion Indochina Travel, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36723, 'lng': 103.84199}","[{'lat': 13.36736, 'lng': 103.84201}]",88027,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '11702175'}]","[{'phone': [{'value': '+85512700930'}], 'www': [{'value': 'http://www.passionindochinatravel.com'}]}]","[{'text': ['Mon-Sat: 08:00 - 18:00'], 'isOpen': False, 'structured': [{'start': 'T080000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA'}]}]",Siem Reap
Pinut Private Taxi & Tours,here:pds:place:116w63gg-b12375fe78af483eb19c0086f362fea5,en,here:cm:ontology:landmark_attraction,"{'label': 'Pinut Private Taxi & Tours, ផ្លូវ សុខសាន្ត, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ សុខសាន្ត', 'postalCode': '171202'}","{'lat': 13.35454, 'lng': 103.84834}","[{'lat': 13.35467, 'lng': 103.84833}]",88079,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}, {'id': '400-4100-0041', 'name': 'Transportation Service'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '20117342'}]","[{'phone': [{'value': '+85586651636'}], 'www': [{'value': 'www.pinutprivatetaxi.com'}]}]","[{'text': ['Mon-Sun: 05:00 - 23:00'], 'isOpen': True, 'structured': [{'start': 'T050000', 'duration': 'PT18H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
In Asia Travel,here:pds:place:116w63gg-8bbf24a086a6e7ab3ec227f939a9d6ff,en,here:cm:ontology:landmark_attraction,"{'label': 'In Asia Travel, ផ្លូវ សុខសាន្ត, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ សុខសាន្ត', 'postalCode': '171202'}","{'lat': 13.35454, 'lng': 103.84834}","[{'lat': 13.35467, 'lng': 103.84833}]",88079,"[{'id': '300-3000-0000', 'name': 'Landmark-Attraction', 'primary': True}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '8801221'}]","[{'phone': [{'value': '+855888850561'}], 'www': [{'value': 'http://inasiatravel.com'}]}]","[{'text': ['Mon-Sun: 08:00 - 22:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",Siem Reap
Vannak Travel Tours,here:pds:place:116w63gg-2ef5fa13a2351e392051b497fbdbc963,en,here:cm:ontology:landmark_attraction,"{'label': 'Vannak Travel Tours, ផ្លូវ សុខសាន្ត, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ សុខសាន្ត', 'postalCode': '171202'}","{'lat': 13.35454, 'lng': 103.84834}","[{'lat': 13.35467, 'lng': 103.84833}]",88079,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}, {'id': '400-4100-0041', 'name': 'Transportation Service'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '18699106'}]",[{'www': [{'value': 'https://vannaktravel.blogspot.com'}]}],Not Available,Siem Reap
Live Like A Local Economy Tours,here:pds:place:116w63gg-dec7e6014ac890b9a85f5d2b64398ffc,en,here:cm:ontology:landmark_attraction,"{'label': 'Live Like A Local Economy Tours, ផ្លូវ សុខសាន្ត, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ សុខសាន្ត', 'postalCode': '171202'}","{'lat': 13.35465, 'lng': 103.84833}","[{'lat': 13.35467, 'lng': 103.84833}]",88083,"[{'id': '700-7400-0133', 'name': 'Travel Agent/Ticketing', 'primary': True}, {'id': '300-3000-0000', 'name': 'Landmark-Attraction'}]",,"[{'supplier': {'id': 'tripadvisor'}, 'id': '15566923'}]",[{'phone': [{'value': '+85512512096'}]}],Not Available,Siem Reap
