id,province_id,image_src,title,scraping_description,province_name,province
1,44,,central market,"Central Market, the Phsar Thmey built in 1937, is a stylish Art Décor rotunda with wings extending in four different directions.",ភ្នំពេញ,Phnom Penh
2,44,,Norodom Sihanouk  Memorial,The memorial is dedicated to the late king’s accomplishment in liberating  Cambodia from France in November of 1953.,ភ្នំពេញ,Phnom Penh
3,44,,NIGHT CRUISE,"One of the more popular tour programs in Phnom Penh is a night cruise on the Mekong river, leisurely enjoying the stars in a romantic environment.",ភ្នំពេញ,Phnom Penh
4,44,,WIN WIN  MEMORIAL,"Built to commemorate the success of Prime Minister Hun Sen’s Win-Win policy that brought the return of solarity and peace to the nation, the Win-Win Memorial stands as a...",ភ្នំពេញ,Phnom Penh
5,44,,Tuol Tompoung Market,"The Toul Tum Poung market, also known as the Russian market, is Must Visit of Phnom Penh.",ភ្នំពេញ,Phnom Penh
6,44,https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2020-06-04-03-22-59am-thumb245x150.jpg,"My lockdown fantasy: I wish I was back in the bustling, mind-blowing beauty of Phnom Penh","Hovering like a banana-coloured flying saucer above the dusty, congested streets of scooters and cyclo taxis,...",ភ្នំពេញ,Phnom Penh
7,44,https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-02-27-08-05-48am-thumb245x150.png,Wat Phnom (Wat Phnom Daun Penh),The Wat Phnom temple is the most significant of all the temples in Phnom Penh.  It is from here that the city...,ភ្នំពេញ,Phnom Penh
8,44,https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-02-27-08-08-12am-thumb245x150.png,Royal Palace,The Royal Palace of Cambodia is a complex of buildings although it is generally understood to be the royal abo...,ភ្នំពេញ,Phnom Penh
9,44,https://tourismcambodia.org/storage/uploads/contents/thumb/162-thumb245x150-shutterstock-1120064264.png,National Museum,The National Museum of Cambodia in Phnom Penh is the country’s leading historical and archaeological museum in...,ភ្នំពេញ,Phnom Penh
10,44,https://tourismcambodia.org/storage/uploads/contents/thumb/163-thumb245x150-shutterstock-1151568635.png,Independence Monument (Vimean Ekareach),"Located at the intersection of Norodom Boulevard and Sihanouk Boulevard in the heart of Phnom Penh city, the I...",ភ្នំពេញ,Phnom Penh
11,44,https://tourismcambodia.org/storage/uploads/contents/thumb/172-thumb245x150-shutterstock-126482903.png,Ounalom Monastery,The origin of the Ounalom Pagoda can be traced to as far back as the 15th Century. It was built in 1422 by,ភ្នំពេញ,Phnom Penh
12,44,https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-03-20-10-22-57am-thumb245x150.jpg,Riverfront,"The park-like Riverfront is a great place to spend a day absorbing local flavours; watch the people unwind, en...",ភ្នំពេញ,Phnom Penh
13,44,https://tourismcambodia.org/storage/uploads/contents/thumb/168-thumb245x150-shutterstock-1251727690.png,River Cruise,"Rivers are the foundation of our society. The mighty Mekong River is indeed, in more ways than one, the lifeli...",ភ្នំពេញ,Phnom Penh
14,44,https://tourismcambodia.org/storage/uploads/contents/thumb/170-thumb245x150-shutterstock-1168390129.png,Choeung Ek Memorial (The Killing Fields),"Located about 17km south of Phnom Penh, Choeung Ek was once an orchard and a Chinese graveyard. It",ភ្នំពេញ,Phnom Penh
15,44,https://tourismcambodia.org/storage/uploads/contents/thumb/169-thumb245x150-shutterstock-706219276.png,Toul Sleng Genocide Museum (S-21),"Prior to 1975, Toul Sleng was a high school. When the Khmer Rouge came to power it was converted into the",ភ្នំពេញ,Phnom Penh
16,44,https://tourismcambodia.org/storage/uploads/contents/thumb/174-thumb245x150-street-240-04.jpg,Street 240,"Street 240's tree shaded avenue harbors a unique collection of quality boutiques and souvenir shops,",ភ្នំពេញ,Phnom Penh
17,44,https://tourismcambodia.org/storage/uploads/contents/thumb/175-thumb245x150-inspiring_decor_ideas_from_phnom_penh-3.jpg,Street 178,Street 178 has long been known as 'Art Street' for the local sculpture shops and art galleries that line the,ភ្នំពេញ,Phnom Penh
18,45,https://tourismcambodia.org/storage/uploads/contents/thumb/215-thumb245x150-aa.jpg,Virachey National Park,"Picturesque natural forest, stunning mountains, plateaus, valleys, local ethnic communities and a diverse wild...",រតនគីរី,Ratanakiri
19,45,https://tourismcambodia.org/storage/uploads/contents/thumb/214-thumb245x150-393681708.jpg,Veal Ram Plang,"Veal Ram Plang got its name from the son of a hill tribe chief who lived in the area. According to legend, a l...",រតនគីរី,Ratanakiri
