image_src,title,description,province,id,address,position,mapView,scoring
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-03-01-08-43-29am-thumb245x150.jpg,"កំពីងពួយ, ភ្នំស្រុក, កម្ពុជា","The Kamping Poy lake was created by the Khmer Rouge using slave labour to build. Over 10,000 Cambodians",Battambang,here:cm:poi:1216359186,"{'label': 'កំពីងពួយ, ភ្នំស្រុក, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'បន្ទាយមានជ័យ', 'city': 'ភ្នំស្រុក', 'district': 'កំពីងពួយ', 'postalCode': '010201'}","{'lat': 13.82417, 'lng': 103.39765}","{'west': 103.39744, 'south': 13.82335, 'east': 103.39787, 'north': 13.825}","{'queryScore': 0.71, 'fieldScore': {'district': 0.91}}"
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-03-01-08-08-49am-thumb245x150.png,"សង្កែ, ឆែប, កម្ពុជា","Battambang city is built along the Sangker river. Because Sangker river and Tonle Sap Lake is connected,",Battambang,here:cm:poi:1216358375,"{'label': 'សង្កែ, ឆែប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ព្រះវិហារ', 'city': 'ឆែប', 'district': 'សង្កែ', 'postalCode': '130203'}","{'lat': 13.77796, 'lng': 105.38243}","{'west': 105.3823, 'south': 13.77785, 'east': 105.38258, 'north': 13.77805}","{'queryScore': 0.5, 'fieldScore': {'district': 0.95}}"
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-03-01-08-03-17am-thumb245x150.png,Bamboo Train,Enjoy a unique experience on the “Bamboo Train” in the middle of the lush countryside.The Bamboo Train,Battambang,,,,,
https://tourismcambodia.org/storage/uploads/contents/thumb/329-thumb245x150-adoa7fzo.jpg,Ba Set Temple,"Ba Set Temple was built during the reign of King, Soriyak Varman I (1002–1050) and located on a hill at Ba",Battambang,,,,,
https://tourismcambodia.org/storage/uploads/contents/thumb/328-thumb245x150-seksork.jpg,Sek Sak Resort,"Sek Sak is a natural resort, which has been popular since before the civil war. Sek Sak stretches along the",Battambang,,,,,
https://tourismcambodia.org/storage/uploads/contents/thumb/327-thumb245x150-shutterstock-540123775.png,"ភ្នំពេញ, កម្ពុជា","Watt Ek Phnom, a modern pagoda, sits next to some 11th century Angkorian ruins built as Hindu temples",Battambang,here:cm:namedplace:28376519,"{'label': 'ភ្នំពេញ, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ភ្នំពេញ', 'city': 'ភ្នំពេញ'}","{'lat': 11.56261, 'lng': 104.87914}","{'west': 104.71271, 'south': 11.42143, 'east': 105.04495, 'north': 11.73651}","{'queryScore': 0.45, 'fieldScore': {'city': 0.63}}"
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2020-04-10-07-33-29am-thumb245x150.jpg,"ភ្នំសំពៅ, បាណន់, កម្ពុជា","Phnom Sampov is a natural resort located along the national road 57 (former national road 10), in Phnom Sampov...",Battambang,here:cm:namedplace:28376813,"{'label': 'ភ្នំសំពៅ, បាណន់, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'បាត់ដំបង', 'city': 'បាណន់', 'district': 'ភ្នំសំពៅ', 'postalCode': '020106'}","{'lat': 13.02355, 'lng': 103.08668}","{'west': 103.00184, 'south': 12.98012, 'east': 103.14516, 'north': 13.0519}","{'queryScore': 0.54, 'fieldScore': {'county': 1.0, 'district': 0.91}}"
https://tourismcambodia.org/storage/uploads/contents/thumb/325-thumb245x150-shutterstock-1053449540.png,"តោល, ថាឡាបរិវ៉ាត់, កម្ពុជា","From Siem Reap you can make a daytrip to Prek Toal to see the impressive water bird spectacle, the pristine",Battambang,here:cm:poi:1216358537,"{'label': 'តោល, ថាឡាបរិវ៉ាត់, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ស្ទឹងត្រែង', 'city': 'ថាឡាបរិវ៉ាត់', 'district': 'តោល', 'postalCode': '190401'}","{'lat': 13.57046, 'lng': 105.64371}","{'west': 105.63718, 'south': 13.5624, 'east': 105.64998, 'north': 13.57873}","{'queryScore': 0.5, 'fieldScore': {'district': 1.0}}"
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-03-01-08-43-29am-thumb245x150.jpg,"កំពីងពួយ, ភ្នំស្រុក, កម្ពុជា","The Kamping Poy lake was created by the Khmer Rouge using slave labour to build. Over 10,000 Cambodians",Battambang,here:cm:poi:1216359186,"{'label': 'កំពីងពួយ, ភ្នំស្រុក, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'បន្ទាយមានជ័យ', 'city': 'ភ្នំស្រុក', 'district': 'កំពីងពួយ', 'postalCode': '010201'}","{'lat': 13.82417, 'lng': 103.39765}","{'west': 103.39744, 'south': 13.82335, 'east': 103.39787, 'north': 13.825}","{'queryScore': 0.71, 'fieldScore': {'district': 0.91}}"
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-03-01-08-08-49am-thumb245x150.png,"សង្កែ, ឆែប, កម្ពុជា","Battambang city is built along the Sangker river. Because Sangker river and Tonle Sap Lake is connected,",Battambang,here:cm:poi:1216358375,"{'label': 'សង្កែ, ឆែប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'ព្រះវិហារ', 'city': 'ឆែប', 'district': 'សង្កែ', 'postalCode': '130203'}","{'lat': 13.77796, 'lng': 105.38243}","{'west': 105.3823, 'south': 13.77785, 'east': 105.38258, 'north': 13.77805}","{'queryScore': 0.5, 'fieldScore': {'district': 0.95}}"
