image_src,title,description,province,location_id,name,web_url,address_obj,ancestors,latitude,longitude,timezone,email,phone,website,write_review,ranking_data,rating,rating_image_url,num_reviews,review_rating_count,subratings,photo_count,see_all_photos,price_level,hours,amenities,cuisine,parent_brand,brand,category,subcategory,groups,styles,neighborhood_info,trip_types,awards,error,GovTourismWebsite
Not available,central market,"Central Market, the Phsar Thmey built in 1937, is a stylish Art Décor rotunda with wings extending in four different directions.",Phnom Penh,469301,Central Market,https://www.tripadvisor.com/Attraction_Review-g293940-d469301-Reviews-Central_Market-Phnom_Penh.html?m=66827,"{'street1': 'Calmette St. 53', 'city': 'Phnom Penh', 'country': 'Cambodia', 'postalcode': '55555', 'address_string': 'Calmette St. 53, Phnom Penh 55555 Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.569552,104.920906,Asia/Phnom_Penh,Not available,Not available,https://www.tourismcambodia.com/travelguides/provinces/phnom-penh/what-to-see/25_central-market-phsar-thmei.htm,https://www.tripadvisor.com/UserReview-g293940-d469301-Central_Market-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#16 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '16'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,6243,"{'1': '101', '2': '311', '3': '1752', '4': '2650', '5': '1429'}",Not available,2804,https://www.tripadvisor.com/Attraction_Review-g293940-d469301-m66827-Reviews-Central_Market-Phnom_Penh.html#photos,Not available,"{'periods': [{'open': {'day': 1, 'time': '0700'}, 'close': {'day': 1, 'time': '1800'}}, {'open': {'day': 2, 'time': '0700'}, 'close': {'day': 2, 'time': '1800'}}, {'open': {'day': 3, 'time': '0700'}, 'close': {'day': 3, 'time': '1800'}}, {'open': {'day': 4, 'time': '0700'}, 'close': {'day': 4, 'time': '1800'}}, {'open': {'day': 5, 'time': '0700'}, 'close': {'day': 5, 'time': '1800'}}, {'open': {'day': 6, 'time': '0700'}, 'close': {'day': 6, 'time': '1800'}}, {'open': {'day': 7, 'time': '0700'}, 'close': {'day': 7, 'time': '1800'}}], 'weekday_text': ['Monday: 07:00 - 18:00', 'Tuesday: 07:00 - 18:00', 'Wednesday: 07:00 - 18:00', 'Thursday: 07:00 - 18:00', 'Friday: 07:00 - 18:00', 'Saturday: 07:00 - 18:00', 'Sunday: 07:00 - 18:00']}",Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'shopping', 'localized_name': 'Shopping'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Shopping', 'localized_name': 'Shopping', 'categories': [{'name': 'Flea & Street Markets', 'localized_name': 'Flea & Street Markets'}]}, {'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Architectural Buildings', 'localized_name': 'Architectural Buildings'}, {'name': 'Points of Interest & Landmarks', 'localized_name': 'Points of Interest & Landmarks'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '218'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '2096'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1050'}, {'name': 'family', 'localized_name': 'Family', 'value': '721'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '1234'}]",[],Not available,TRUE
Not available,Norodom Sihanouk  Memorial,The memorial is dedicated to the late king’s accomplishment in liberating  Cambodia from France in November of 1953.,Phnom Penh,9608557,Statue of King Father Norodom Sihanouk,https://www.tripadvisor.com/Attraction_Review-g293940-d9608557-Reviews-Statue_of_King_Father_Norodom_Sihanouk-Phnom_Penh.html?m=66827,"{'street1': 'Preach Suramit Boulevard', 'street2': 'Sangkat Tonle Bassac', 'city': 'Phnom Penh', 'country': 'Cambodia', 'address_string': 'Preach Suramit Boulevard Sangkat Tonle Bassac, Phnom Penh Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.556504,104.93031,Asia/Phnom_Penh,Not available,+855 10 405 086,http://www.suntourspp.com,https://www.tripadvisor.com/UserReview-g293940-d9608557-Statue_of_King_Father_Norodom_Sihanouk-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#14 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '14'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,326,"{'1': '1', '2': '6', '3': '98', '4': '142', '5': '79'}",Not available,226,https://www.tripadvisor.com/Attraction_Review-g293940-d9608557-m66827-Reviews-Statue_of_King_Father_Norodom_Sihanouk-Phnom_Penh.html#photos,Not available,Not available,Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Points of Interest & Landmarks', 'localized_name': 'Points of Interest & Landmarks'}, {'name': 'Monuments & Statues', 'localized_name': 'Monuments & Statues'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '13'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '100'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '81'}, {'name': 'family', 'localized_name': 'Family', 'value': '33'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '65'}]",[],Not available,TRUE
Not available,NIGHT CRUISE,"One of the more popular tour programs in Phnom Penh is a night cruise on the Mekong river, leisurely enjoying the stars in a romantic environment.",Phnom Penh,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,TRUE
Not available,WIN WIN  MEMORIAL,"Built to commemorate the success of Prime Minister Hun Sen’s Win-Win policy that brought the return of solarity and peace to the nation, the Win-Win Memorial stands as a...",Phnom Penh,17601192,Win Win Memorial,https://www.tripadvisor.com/Attraction_Review-g293940-d17601192-Reviews-Win_Win_Memorial-Phnom_Penh.html?m=66827,"{'street1': 'Ly Yongphat St', 'street2': 'In front of Morodok Techo Stadium', 'city': 'Phnom Penh', 'country': 'Cambodia', 'postalcode': 'MVHP+F4', 'address_string': 'Ly Yongphat St In front of Morodok Techo Stadium, Phnom Penh MVHP+F4 Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.678655,104.885315,Asia/Phnom_Penh,Not available,Not available,Not available,https://www.tripadvisor.com/UserReview-g293940-d17601192-Win_Win_Memorial-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#83 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '83'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,4,"{'1': '0', '2': '0', '3': '1', '4': '3', '5': '0'}",Not available,25,https://www.tripadvisor.com/Attraction_Review-g293940-d17601192-m66827-Reviews-Win_Win_Memorial-Phnom_Penh.html#photos,Not available,Not available,Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Monuments & Statues', 'localized_name': 'Monuments & Statues'}, {'name': 'Points of Interest & Landmarks', 'localized_name': 'Points of Interest & Landmarks'}, {'name': 'Scenic Walking Areas', 'localized_name': 'Scenic Walking Areas'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '2'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '1'}]",[],Not available,TRUE
Not available,Tuol Tompoung Market,"The Toul Tum Poung market, also known as the Russian market, is Must Visit of Phnom Penh.",Phnom Penh,19467992,Tuol Tompoung Pagoda,https://www.tripadvisor.com/Attraction_Review-g293940-d19467992-Reviews-Tuol_Tompoung_Pagoda-Phnom_Penh.html?m=66827,"{'street1': 'Mao Tse Toung Boulevard', 'city': 'Phnom Penh', 'country': 'Cambodia', 'address_string': 'Mao Tse Toung Boulevard, Phnom Penh Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.54393,104.91494,Asia/Phnom_Penh,Not available,+855 17 378 002,Not available,https://www.tripadvisor.com/UserReview-g293940-d19467992-Tuol_Tompoung_Pagoda-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#66 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '66'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,5,"{'1': '0', '2': '0', '3': '3', '4': '0', '5': '2'}",Not available,20,https://www.tripadvisor.com/Attraction_Review-g293940-d19467992-m66827-Reviews-Tuol_Tompoung_Pagoda-Phnom_Penh.html#photos,Not available,Not available,Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Sacred & Religious Sites', 'localized_name': 'Sacred & Religious Sites'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '2'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '2'}]",[],Not available,TRUE
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2020-06-04-03-22-59am-thumb245x150.jpg,"My lockdown fantasy: I wish I was back in the bustling, mind-blowing beauty of Phnom Penh","Hovering like a banana-coloured flying saucer above the dusty, congested streets of scooters and cyclo taxis,...",Phnom Penh,293940,Phnom Penh,https://www.tripadvisor.com/Tourism-g293940-Phnom_Penh-Vacations.html?m=66827,"{'street1': '', 'street2': '', 'country': 'Cambodia', 'postalcode': '', 'address_string': 'Phnom Penh Cambodia'}","[{'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.563291,104.92013,Asia/Phnom_Penh,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.tripadvisor.com/Tourism-g293940-m66827-Phnom_Penh-Vacations.html#photos,Not available,Not available,Not available,Not available,Not available,Not available,"{'name': 'geographic', 'localized_name': 'Geographic'}","[{'name': 'city', 'localized_name': 'City'}]",Not available,Not available,[],Not available,[],Not available,TRUE
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-02-27-08-05-48am-thumb245x150.png,Wat Phnom (Wat Phnom Daun Penh),The Wat Phnom temple is the most significant of all the temples in Phnom Penh.  It is from here that the city...,Phnom Penh,469303,Wat Phnom,https://www.tripadvisor.com/Attraction_Review-g293940-d469303-Reviews-Wat_Phnom-Phnom_Penh.html?m=66827,"{'city': 'Phnom Penh', 'country': 'Cambodia', 'postalcode': '', 'address_string': 'Phnom Penh Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.57589,104.92304,Asia/Phnom_Penh,Not available,Not available,Not available,https://www.tripadvisor.com/UserReview-g293940-d469303-Wat_Phnom-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#9 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '9'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,2959,"{'1': '44', '2': '130', '3': '950', '4': '1153', '5': '682'}",Not available,2881,https://www.tripadvisor.com/Attraction_Review-g293940-d469303-m66827-Reviews-Wat_Phnom-Phnom_Penh.html#photos,Not available,"{'periods': [{'open': {'day': 1, 'time': '0800'}, 'close': {'day': 1, 'time': '1800'}}, {'open': {'day': 2, 'time': '0800'}, 'close': {'day': 2, 'time': '1800'}}, {'open': {'day': 3, 'time': '0800'}, 'close': {'day': 3, 'time': '1800'}}, {'open': {'day': 4, 'time': '0800'}, 'close': {'day': 4, 'time': '1800'}}, {'open': {'day': 5, 'time': '0800'}, 'close': {'day': 5, 'time': '1800'}}, {'open': {'day': 6, 'time': '0800'}, 'close': {'day': 6, 'time': '1900'}}, {'open': {'day': 7, 'time': '0800'}, 'close': {'day': 7, 'time': '1900'}}], 'weekday_text': ['Monday: 08:00 - 18:00', 'Tuesday: 08:00 - 18:00', 'Wednesday: 08:00 - 18:00', 'Thursday: 08:00 - 18:00', 'Friday: 08:00 - 18:00', 'Saturday: 08:00 - 19:00', 'Sunday: 08:00 - 19:00']}",Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Sacred & Religious Sites', 'localized_name': 'Sacred & Religious Sites'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '85'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '990'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '566'}, {'name': 'family', 'localized_name': 'Family', 'value': '310'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '562'}]","[{'award_type': 'Travelers Choice', 'year': '2024', 'images': {'tiny': 'https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2024_L.png', 'small': 'https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2024_L.png', 'large': 'https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2024_L.png'}, 'categories': [], 'display_name': 'Travelers Choice'}, {'award_type': 'Travelers Choice', 'year': '2023', 'images': {'tiny': 'https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2023_L.png', 'small': 'https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2023_L.png', 'large': 'https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2023_L.png'}, 'categories': [], 'display_name': 'Travelers Choice'}]",Not available,TRUE
https://tourismcambodia.org/storage/uploads/contents/thumb/ministry-of-tourism-cambodia-2019-02-27-08-08-12am-thumb245x150.png,Royal Palace,The Royal Palace of Cambodia is a complex of buildings although it is generally understood to be the royal abo...,Phnom Penh,324064,Royal Palace,https://www.tripadvisor.com/Attraction_Review-g293940-d324064-Reviews-Royal_Palace-Phnom_Penh.html?m=66827,"{'street1': 'Samdach Sothearos Blvd 3', 'street2': 'between Street 240 & 184', 'city': 'Phnom Penh', 'country': 'Cambodia', 'postalcode': '', 'address_string': 'Samdach Sothearos Blvd 3 between Street 240 & 184, Phnom Penh Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.56397,104.931015,Asia/Phnom_Penh,Not available,Not available,https://www.tourismcambodia.org/provinces/search/detail/127/royal-palace-1548301051,https://www.tripadvisor.com/UserReview-g293940-d324064-Royal_Palace-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#13 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '13'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,8241,"{'1': '181', '2': '381', '3': '1641', '4': '3187', '5': '2851'}",Not available,7657,https://www.tripadvisor.com/Attraction_Review-g293940-d324064-m66827-Reviews-Royal_Palace-Phnom_Penh.html#photos,Not available,"{'periods': [{'open': {'day': 1, 'time': '0700'}, 'close': {'day': 1, 'time': '1000'}}, {'open': {'day': 1, 'time': '1430'}, 'close': {'day': 1, 'time': '1630'}}, {'open': {'day': 2, 'time': '0700'}, 'close': {'day': 2, 'time': '1000'}}, {'open': {'day': 2, 'time': '1430'}, 'close': {'day': 2, 'time': '1630'}}, {'open': {'day': 3, 'time': '0700'}, 'close': {'day': 3, 'time': '1000'}}, {'open': {'day': 3, 'time': '1430'}, 'close': {'day': 3, 'time': '1630'}}, {'open': {'day': 4, 'time': '0700'}, 'close': {'day': 4, 'time': '1000'}}, {'open': {'day': 4, 'time': '1430'}, 'close': {'day': 4, 'time': '1630'}}, {'open': {'day': 5, 'time': '0700'}, 'close': {'day': 5, 'time': '1000'}}, {'open': {'day': 5, 'time': '1430'}, 'close': {'day': 5, 'time': '1630'}}, {'open': {'day': 6, 'time': '0700'}, 'close': {'day': 6, 'time': '1000'}}, {'open': {'day': 6, 'time': '1430'}, 'close': {'day': 6, 'time': '1630'}}, {'open': {'day': 7, 'time': '0700'}, 'close': {'day': 7, 'time': '1000'}}, {'open': {'day': 7, 'time': '1430'}, 'close': {'day': 7, 'time': '1630'}}], 'weekday_text': ['Monday: 07:00 - 10:00,  14:30 - 16:30', 'Tuesday: 07:00 - 10:00,  14:30 - 16:30', 'Wednesday: 07:00 - 10:00,  14:30 - 16:30', 'Thursday: 07:00 - 10:00,  14:30 - 16:30', 'Friday: 07:00 - 10:00,  14:30 - 16:30', 'Saturday: 07:00 - 10:00,  14:30 - 16:30', 'Sunday: 07:00 - 10:00,  14:30 - 16:30']}",Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Historic Sites', 'localized_name': 'Historic Sites'}, {'name': 'Castles', 'localized_name': 'Castles'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '192'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '3208'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1100'}, {'name': 'family', 'localized_name': 'Family', 'value': '977'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '1664'}]",[],Not available,TRUE
https://tourismcambodia.org/storage/uploads/contents/thumb/162-thumb245x150-shutterstock-1120064264.png,National Museum,The National Museum of Cambodia in Phnom Penh is the country’s leading historical and archaeological museum in...,Phnom Penh,324624,National Museum,https://www.tripadvisor.com/Attraction_Review-g293940-d324624-Reviews-National_Museum-Phnom_Penh.html?m=66827,"{'street1': 'Preah Ang Eng St. 13', 'city': 'Phnom Penh', 'country': 'Cambodia', 'postalcode': '120211', 'address_string': 'Preah Ang Eng St. 13, Phnom Penh 120211 Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.565457,104.92913,Asia/Phnom_Penh,Not available,+855 23 217 643,http://www.cambodiamuseum.info/en_information_visitors.html,https://www.tripadvisor.com/UserReview-g293940-d324624-National_Museum-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#17 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '17'}",4,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/4.0-66827-5.svg,4357,"{'1': '102', '2': '335', '3': '1103', '4': '1639', '5': '1178'}",Not available,3033,https://www.tripadvisor.com/Attraction_Review-g293940-d324624-m66827-Reviews-National_Museum-Phnom_Penh.html#photos,Not available,"{'periods': [{'open': {'day': 1, 'time': '0800'}, 'close': {'day': 1, 'time': '1700'}}, {'open': {'day': 2, 'time': '0800'}, 'close': {'day': 2, 'time': '1700'}}, {'open': {'day': 3, 'time': '0800'}, 'close': {'day': 3, 'time': '1700'}}, {'open': {'day': 4, 'time': '0800'}, 'close': {'day': 4, 'time': '1700'}}, {'open': {'day': 5, 'time': '0800'}, 'close': {'day': 5, 'time': '1700'}}, {'open': {'day': 6, 'time': '0800'}, 'close': {'day': 6, 'time': '1700'}}, {'open': {'day': 7, 'time': '0800'}, 'close': {'day': 7, 'time': '1700'}}], 'weekday_text': ['Monday: 08:00 - 17:00', 'Tuesday: 08:00 - 17:00', 'Wednesday: 08:00 - 17:00', 'Thursday: 08:00 - 17:00', 'Friday: 08:00 - 17:00', 'Saturday: 08:00 - 17:00', 'Sunday: 08:00 - 17:00']}",Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'museums', 'localized_name': 'Museums'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Museums', 'localized_name': 'Museums', 'categories': [{'name': 'Specialty Museums', 'localized_name': 'Specialty Museums'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '103'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1625'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '781'}, {'name': 'family', 'localized_name': 'Family', 'value': '442'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '793'}]",[],Not available,TRUE
https://tourismcambodia.org/storage/uploads/contents/thumb/163-thumb245x150-shutterstock-1151568635.png,Independence Monument (Vimean Ekareach),"Located at the intersection of Norodom Boulevard and Sihanouk Boulevard in the heart of Phnom Penh city, the I...",Phnom Penh,469302,Independence Monument,https://www.tripadvisor.com/Attraction_Review-g293940-d469302-Reviews-Independence_Monument-Phnom_Penh.html?m=66827,"{'street1': 'City Centre', 'street2': '', 'city': 'Phnom Penh', 'country': 'Cambodia', 'postalcode': '', 'address_string': 'City Centre, Phnom Penh Cambodia'}","[{'level': 'City', 'name': 'Phnom Penh', 'location_id': '293940'}, {'level': 'Country', 'name': 'Cambodia', 'location_id': '293939'}]",11.556463,104.9282,Asia/Phnom_Penh,Not available,+855 23 723 949,Not available,https://www.tripadvisor.com/UserReview-g293940-d469302-Independence_Monument-Phnom_Penh.html?m=66827,"{'geo_location_id': '293940', 'ranking_string': '#18 of 164 things to do in Phnom Penh', 'geo_location_name': 'Phnom Penh', 'ranking_out_of': '164', 'ranking': '18'}",3.5,https://www.tripadvisor.com/img/cdsi/img2/ratings/traveler/3.5-66827-5.svg,1819,"{'1': '27', '2': '108', '3': '716', '4': '603', '5': '365'}",Not available,832,https://www.tripadvisor.com/Attraction_Review-g293940-d469302-m66827-Reviews-Independence_Monument-Phnom_Penh.html#photos,Not available,Not available,Not available,Not available,Not available,Not available,"{'name': 'attraction', 'localized_name': 'Attraction'}","[{'name': 'landmarks', 'localized_name': 'Sights & Landmarks'}, {'name': 'attractions', 'localized_name': 'Attractions'}]","[{'name': 'Sights & Landmarks', 'localized_name': 'Sights & Landmarks', 'categories': [{'name': 'Monuments & Statues', 'localized_name': 'Monuments & Statues'}]}]",Not available,[],"[{'name': 'business', 'localized_name': 'Business', 'value': '64'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '554'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '407'}, {'name': 'family', 'localized_name': 'Family', 'value': '187'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '343'}]",[],Not available,TRUE
